target,fold,model,n_features,n_train,n_test,R2,RMSE,MAE,best_params
math_5unit_participation,0,SGD (linear SVM),11,2576,645,0.34374959091236723,0.08989535974400592,0.06392633958251973,"{'sgdregressor__penalty': 'elasticnet', 'sgdregressor__learning_rate': 'adaptive', 'sgdregressor__alpha': 0.01}"
math_5unit_participation,0,RandomForest,11,2576,645,0.39469738445151226,0.08633537036713274,0.0610545355438305,"{'n_estimators': 200, 'min_samples_leaf': 5, 'max_features': 0.3, 'max_depth': None}"
math_5unit_participation,0,HistGradientBoosting,11,2576,645,0.417195737023347,0.08471568777142587,0.058517010712932714,"{'min_samples_leaf': 60, 'max_leaf_nodes': 15, 'max_iter': 250, 'max_depth': 5, 'learning_rate': 0.02, 'l2_regularization': 1.0}"
math_5unit_participation,1,Ridge,12,2577,644,0.3569500317916202,0.08855658890776708,0.06066899601110093,{'ridge__alpha': 50.0}
math_5unit_participation,1,SGD (linear SVM),12,2577,644,0.35579065509398655,0.0886363838034473,0.06091581730919038,"{'sgdregressor__penalty': 'elasticnet', 'sgdregressor__learning_rate': 'adaptive', 'sgdregressor__alpha': 0.01}"
math_5unit_participation,1,RandomForest,12,2577,644,0.40694883337974896,0.08504418066915222,0.05485245686187467,"{'n_estimators': 500, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': 8}"
math_5unit_participation,1,HistGradientBoosting,12,2577,644,0.38776524378808963,0.08640870758724342,0.05240534202185359,"{'min_samples_leaf': 10, 'max_leaf_nodes': 31, 'max_iter': 250, 'max_depth': None, 'learning_rate': 0.05, 'l2_regularization': 0.1}"
math_5unit_participation,2,Ridge,11,2577,644,0.34382307503088194,0.08988914227350249,0.06662975255392181,{'ridge__alpha': 50.0}
math_5unit_participation,2,SGD (linear SVM),11,2577,644,0.3386607746083897,0.09024203921639176,0.06686257574344952,"{'sgdregressor__penalty': 'elasticnet', 'sgdregressor__learning_rate': 'adaptive', 'sgdregressor__alpha': 0.01}"
math_5unit_participation,2,RandomForest,11,2577,644,0.41491067202071397,0.08488048408271939,0.06073146928758441,"{'n_estimators': 300, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 20}"
math_5unit_participation,2,HistGradientBoosting,11,2577,644,0.388331335034805,0.08678703987636316,0.06347290134605721,"{'min_samples_leaf': 20, 'max_leaf_nodes': 15, 'max_iter': 150, 'max_depth': 3, 'learning_rate': 0.02, 'l2_regularization': 1.0}"
math_5unit_participation,3,Ridge,12,2577,644,0.2488983991310243,0.10463857364563921,0.06848386491135229,{'ridge__alpha': 100.0}
math_5unit_participation,3,SGD (linear SVM),12,2577,644,0.2516710164520978,0.10444526360838531,0.06803994944961486,"{'sgdregressor__penalty': 'elasticnet', 'sgdregressor__learning_rate': 'adaptive', 'sgdregressor__alpha': 0.01}"
math_5unit_participation,3,RandomForest,12,2577,644,0.33191581903435907,0.0986865715536733,0.062442909350172285,"{'n_estimators': 500, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 14}"
math_5unit_participation,3,HistGradientBoosting,12,2577,644,0.35450880482817704,0.0970035500668918,0.061751408315037774,"{'min_samples_leaf': 40, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': None, 'learning_rate': 0.02, 'l2_regularization': 1.0}"
math_5unit_participation,4,Ridge,12,2577,644,0.3339352175883332,0.07286336340351242,0.058499358427395884,{'ridge__alpha': 50.0}
math_5unit_participation,4,SGD (linear SVM),12,2577,644,0.3247245056887683,0.07336543107355883,0.05871438833450409,"{'sgdregressor__penalty': 'l2', 'sgdregressor__learning_rate': 'invscaling', 'sgdregressor__alpha': 0.01}"
math_5unit_participation,4,RandomForest,12,2577,644,0.42668485531835243,0.06760015411400584,0.051287787131694754,"{'n_estimators': 200, 'min_samples_leaf': 5, 'max_features': 0.3, 'max_depth': None}"
math_5unit_participation,4,HistGradientBoosting,12,2577,644,0.3407197939878722,0.07249131823339011,0.05387009940801086,"{'min_samples_leaf': 40, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': None, 'learning_rate': 0.02, 'l2_regularization': 1.0}"
english_5unit_participation,0,Ridge,14,2580,646,0.5068405065674753,0.18308568208977682,0.13569030369865565,{'ridge__alpha': 100.0}
english_5unit_participation,0,SGD (linear SVM),14,2580,646,0.5111673116587092,0.18228074848937523,0.13432460872715649,"{'sgdregressor__penalty': 'l1', 'sgdregressor__learning_rate': 'adaptive', 'sgdregressor__alpha': 0.001}"
